"Date","Price","Open","High","Low","Vol.","Change %"
"06/22/2022","112.34","112.34","112.34","112.34","","-0.89%"
"06/21/2022","113.34","113.34","113.34","113.34","","0.55%"
"06/17/2022","112.72","112.72","112.72","112.72","","-2.27%"
"06/16/2022","115.34","115.34","115.34","115.34","","0.87%"
"06/15/2022","114.35","114.35","114.35","114.35","","-1.17%"
"06/14/2022","115.71","115.71","115.71","115.71","","-0.80%"
"06/13/2022","116.64","116.64","116.64","116.64","","-0.03%"
"06/10/2022","116.67","116.67","116.67","116.67","","-0.36%"
"06/09/2022","117.09","117.09","117.09","117.09","","-0.35%"
"06/08/2022","117.50","117.50","117.50","117.50","","1.92%"
"06/07/2022","115.29","115.29","115.29","115.29","","1.12%"
"06/06/2022","114.01","114.01","114.01","114.01","","0.16%"
"06/03/2022","113.83","113.83","113.83","113.83","","1.62%"
"06/02/2022","112.02","112.02","112.02","112.02","","1.01%"
"06/01/2022","110.91","110.91","110.91","110.91","","2.57%"
"05/31/2022","108.13","108.13","108.13","108.13","","0.35%"
"05/27/2022","107.75","107.75","107.75","107.75","","0.11%"
"05/26/2022","107.64","107.64","107.64","107.64","","0.44%"
"05/25/2022","107.17","107.17","107.17","107.17","","0.00%"
"05/24/2022","107.17","107.17","107.17","107.17","","-0.14%"
"05/23/2022","107.32","107.32","107.32","107.32","","0.10%"
"05/20/2022","107.21","107.21","107.21","107.21","","0.21%"
"05/19/2022","106.99","106.99","106.99","106.99","","1.38%"
"05/18/2022","105.53","105.53","105.53","105.53","","-1.26%"
"05/17/2022","106.88","106.88","106.88","106.88","","-1.40%"
"05/16/2022","108.40","108.40","108.40","108.40","","1.09%"
"05/13/2022","107.23","107.23","107.23","107.23","","2.45%"
"05/12/2022","104.66","104.66","104.66","104.66","","0.10%"
"05/11/2022","104.56","104.56","104.56","104.56","","4.12%"
"05/10/2022","100.43","100.43","100.43","100.43","","-2.30%"
"05/09/2022","102.79","102.79","102.79","102.79","","-4.44%"
"05/06/2022","107.57","107.57","107.57","107.57","","1.10%"
"05/05/2022","106.40","106.40","106.40","106.40","","0.41%"
"05/04/2022","105.97","105.97","105.97","105.97","","2.50%"
"05/03/2022","103.39","103.39","103.39","103.39","","-0.45%"
"05/02/2022","103.86","103.86","103.86","103.86","","1.04%"
"04/29/2022","102.79","102.79","102.79","102.79","","0.02%"
"04/28/2022","102.76","102.76","102.76","102.76","","0.07%"
"04/27/2022","102.69","102.69","102.69","102.69","","0.00%"
"04/26/2022","102.69","102.69","102.69","102.69","","0.39%"
"04/25/2022","102.30","102.30","102.30","102.30","","-1.09%"
"04/22/2022","103.43","103.43","103.43","103.43","","-0.40%"
"04/21/2022","103.85","103.85","103.85","103.85","","0.71%"
"04/20/2022","103.12","103.12","103.12","103.12","","0.02%"
"04/19/2022","103.09","103.09","103.09","103.09","","-2.22%"
"04/18/2022","105.44","105.44","105.44","105.44","","0.59%"
"04/14/2022","104.82","104.82","104.82","104.82","","1.08%"
"04/13/2022","103.70","103.70","103.70","103.70","","2.18%"
"04/12/2022","101.49","101.49","101.49","101.49","","4.61%"
"04/11/2022","97.02","97.02","97.02","97.02","","-2.71%"
"04/08/2022","99.72","99.72","99.72","99.72","","1.31%"
"04/07/2022","98.42","98.42","98.42","98.42","","-0.39%"
"04/06/2022","98.81","98.81","98.81","98.81","","-4.32%"
"04/05/2022","103.27","103.27","103.27","103.27","","-1.43%"
"04/04/2022","104.77","104.77","104.77","104.77","","2.86%"
"04/01/2022","101.85","101.85","101.85","101.85","","-8.15%"
"03/31/2022","110.89","110.89","110.89","110.89","","0.00%"
"03/30/2022","110.89","110.89","110.89","110.89","","0.31%"
"03/29/2022","110.55","110.55","110.55","110.55","","-0.26%"
"03/28/2022","110.84","110.84","110.84","110.84","","-1.12%"
"03/25/2022","112.10","112.10","112.10","112.10","","0.25%"
"03/24/2022","111.82","111.82","111.82","111.82","","-0.68%"
"03/23/2022","112.59","112.59","112.59","112.59","","1.04%"
